txn_id,network,merchant,txn_date,auth_amount,auth_status,decline_code,clearing_status,clearing_amount,settlement_status,settlement_amount
TXN000001,Visa,Merchant_Electronics_01,2026-03-04,3720.67,Approved,,Cleared,3720.67,Settled,3720.67
TXN000002,Visa,Merchant_Grocery_19,2026-01-08,2138.51,Declined,51,,,,
TXN000003,Visa,Merchant_Fashion_18,2026-06-16,1034.25,Approved,,Cleared,1034.25,Settled,1034.25
TXN000004,Visa,Merchant_Pharmacy_06,2026-03-29,3505.79,Approved,,Cleared,3505.79,Settled,3505.79
TXN000005,Amex,Merchant_Travel_04,2026-03-30,1826.95,Approved,,Cleared,1826.95,Settled,1826.95
TXN000006,Amex,Merchant_Grocery_03,2026-06-10,2782.6,Approved,,Cleared,2782.6,Settled,2782.6
TXN000007,Visa,Merchant_Hotel_08,2026-01-21,3876.69,Approved,,Cleared,3876.69,Settled,3876.69
TXN000008,RuPay,Merchant_Pharmacy_06,2026-02-23,1882.4,Approved,,Cleared,1882.4,Settled,1882.4
TXN000009,Mastercard,Merchant_Fashion_18,2026-02-11,3659.18,Approved,,Cleared,3659.18,Settled,3659.18
TXN000010,Mastercard,Merchant_Grocery_11,2026-01-15,4222.12,Approved,,Not Cleared,,,
TXN000011,RuPay,Merchant_Fuel_13,2026-02-24,1375.32,Approved,,Cleared,1375.32,Settled,1375.32
TXN000012,Amex,Merchant_Fuel_13,2026-06-14,4429.18,Approved,,Cleared,4429.18,Settled,4429.18
TXN000013,RuPay,Merchant_Grocery_19,2026-05-30,2170.75,Approved,,Cleared,2170.75,Settled,2170.75
TXN000014,Visa,Merchant_Fashion_02,2026-02-09,4312.46,Approved,,Cleared,4312.46,Settled,4312.46
TXN000015,Amex,Merchant_Travel_20,2026-05-16,4980.8,Approved,,Cleared,4980.8,Settled,4980.8
TXN000016,Visa,Merchant_Fashion_18,2026-06-14,3766.85,Approved,,Cleared,3766.85,Settled,3730.47
TXN000017,RuPay,Merchant_Electronics_17,2026-05-10,3821.71,Approved,,Cleared,3821.71,Settled,3821.71
TXN000018,Mastercard,Merchant_Fuel_05,2026-02-11,1900.87,Approved,,Cleared,1900.87,Settled,1883.99
TXN000019,Visa,Merchant_Travel_04,2026-03-20,4649.04,Approved,,Cleared,4649.04,Settled,4649.04
TXN000020,Amex,Merchant_Grocery_03,2026-05-17,4891.02,Approved,,Cleared,4891.02,Settled,4891.02
TXN000021,RuPay,Merchant_Electronics_17,2026-04-19,4368.54,Approved,,Cleared,4368.54,Settled,4368.54
TXN000022,RuPay,Merchant_Fuel_13,2026-06-16,4975.99,Approved,,Cleared,4975.99,Settled,4975.99
TXN000023,Visa,Merchant_Grocery_11,2026-05-22,154.12,Approved,,Cleared,154.12,Settled,154.12
TXN000024,Mastercard,Merchant_Grocery_03,2026-03-26,4531.83,Declined,51,,,,
TXN000025,RuPay,Merchant_Hotel_16,2026-02-03,1110.47,Approved,,Cleared,1110.47,Settled,1110.47
TXN000026,Amex,Merchant_Pharmacy_14,2026-01-25,992.53,Approved,,Cleared,992.53,Settled,992.53
TXN000027,Visa,Merchant_Travel_04,2026-03-28,350.03,Approved,,Cleared,350.03,Settled,350.03
